Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
Clayton County,GA,42.985,41.605,44.365
Clinch County,GA,31.577,28.19,34.964
Cobb County,GA,66.97,64.994,68.946
Coffee County,GA,33.125,30.121,36.129
Colquitt County,GA,33.509,30.889,36.129
Columbia County,GA,68.067,64.634,71.5
Cook County,GA,32.408,29.295,35.521
Coweta County,GA,60.809,56.848,64.77
Crawford County,GA,43.111,38.662,47.56
Crisp County,GA,31.176,27.971,34.381
Dade County,GA,42.953,38.615,47.291
Dawson County,GA,57.491,52.227,62.755
Decatur County,GA,33.968,30.444,37.492
DeKalb County,GA,50.597,49.296,51.898
Dodge County,GA,32.293,28.992,35.594
Dooly County,GA,31.103,27.779,34.427
Dougherty County,GA,32.15,30.171,34.129
Douglas County,GA,54.581,50.791,58.371
Early County,GA,34.906,31.945,37.867
Echols County,GA,34.444,30.783,38.105
Effingham County,GA,61.195,57.647,64.743
Elbert County,GA,35.351,32.189,38.513
Emanuel County,GA,30.119,27.094,33.144
Evans County,GA,33.293,29.961,36.625
Fannin County,GA,37.813,34.52,41.106
Fayette County,GA,79.069,73.976,84.162
Floyd County,GA,41.814,38.814,44.814
Forsyth County,GA,86.413,83.731,89.095
Franklin County,GA,38.055,34.099,42.011
Fulton County,GA,55.516,53.942,57.09
Gilmer County,GA,40.01,36.038,43.982
Glascock County,GA,39.643,36.289,42.997
Glynn County,GA,46.737,44.014,49.46
Gordon County,GA,43.88,40.252,47.508
Grady County,GA,35.237,31.745,38.729
Greene County,GA,42.823,38.328,47.318
Gwinnett County,GA,59.858,57.296,62.42
Habersham County,GA,40.994,37.745,44.243
Hall County,GA,52.238,49.277,55.199
Hancock County,GA,26.309,23.465,29.153
Haralson County,GA,40.387,36.514,44.26
Harris County,GA,66.249,60.23,72.268
Hart County,GA,38.564,34.692,42.436
Heard County,GA,41.348,37.287,45.409
Henry County,GA,60.388,55.891,64.885
Houston County,GA,53.027,48.952,57.102
Irwin County,GA,35.955,32.082,39.828
Jackson County,GA,51.931,49.129,54.733
Jasper County,GA,41.818,37.627,46.009
Jeff Davis County,GA,35.235,31.85,38.62
Jefferson County,GA,30.835,27.791,33.879
Jenkins County,GA,30.678,27.876,33.48
Johnson County,GA,29.818,26.688,32.948
Jones County,GA,51.749,46.739,56.759
Lamar County,GA,40.339,36.056,44.622
Lanier County,GA,37.113,33.242,40.984
Laurens County,GA,35.807,32.351,39.263
Lee County,GA,64.533,58.699,70.367
Liberty County,GA,41.682,39.397,43.967
Lincoln County,GA,39.484,35.48,43.488
Long County,GA,43.193,39.728,46.658
Lowndes County,GA,38.887,35.811,41.963
Lumpkin County,GA,44.653,40.463,48.843
McDuffie County,GA,37.413,33.502,41.324
McIntosh County,GA,37.603,34.004,41.202
Macon County,GA,29.43,26.308,32.552
Madison County,GA,45.557,42.038,49.076
Marion County,GA,36.055,32.871,39.239
Meriwether County,GA,37.243,33.65,40.836
Miller County,GA,35.276,31.613,38.939
Mitchell County,GA,32.711,29.782,35.64
Monroe County,GA,53.542,48.414,58.67
Montgomery County,GA,36.436,32.823,40.049
Morgan County,GA,50.295,45.575,55.015
Murray County,GA,40.976,37.394,44.558
Muscogee County,GA,41.783,39.435,44.131
Newton County,GA,48.058,44.261,51.855
Oconee County,GA,80.631,73.314,87.948
Oglethorpe County,GA,46.84,42.906,50.774
Paulding County,GA,63.964,60.286,67.642
Peach County,GA,40.55,36.593,44.507
Pickens County,GA,51.047,46.717,55.377
Pierce County,GA,40.526,36.662,44.39
Pike County,GA,50.395,45.979,54.811
Polk County,GA,38.847,35.078,42.616
Pulaski County,GA,36.128,33.797,38.459
Putnam County,GA,42.125,37.79,46.46
Quitman County,GA,29.477,26.397,32.557
Rabun County,GA,38.449,34.5,42.398
Randolph County,GA,25.807,22.992,28.622
Richmond County,GA,36.012,34.15,37.874
Rockdale County,GA,48.287,45.162,51.412
Schley County,GA,39.601,35.494,43.708
Screven County,GA,34.012,31.097,36.927
Seminole County,GA,37.672,34.724,40.62
Spalding County,GA,35.555,32.382,38.728
Stephens County,GA,36.87,33.184,40.556
Stewart County,GA,27.635,24.641,30.629
Sumter County,GA,34.017,31.056,36.978
Talbot County,GA,33.37,30.09,36.65
Taliaferro County,GA,28.716,25.804,31.628
Tattnall County,GA,34.01,30.726,37.294
Taylor County,GA,32.815,29.578,36.052
Telfair County,GA,29.244,26.456,32.032
Terrell County,GA,34.604,31.648,37.56
Thomas County,GA,36.973,33.592,40.354
Tift County,GA,36.303,33.095,39.511
Toombs County,GA,34.008,30.527,37.489
Towns County,GA,39.453,35.648,43.258
Treutlen County,GA,32.536,29.387,35.685
Troup County,GA,41.141,38.025,44.257
Turner County,GA,32.171,28.974,35.368
Twiggs County,GA,36.886,32.893,40.879
Union County,GA,40.667,36.383,44.951
Upson County,GA,34.867,32.423,37.311
Walker County,GA,39.078,35.532,42.624
Walton County,GA,52.082,49.31,54.854
Ware County,GA,34.288,31.122,37.454
Warren County,GA,31.623,28.25,34.996
Washington County,GA,36.137,32.587,39.687
Wayne County,GA,41.093,37.526,44.66
Webster County,GA,33.893,30.236,37.55
Wheeler County,GA,30.264,27.015,33.513
White County,GA,42.126,38.668,45.584
Whitfield County,GA,43.731,39.594,47.868
Wilcox County,GA,32.722,29.625,35.819
Wilkes County,GA,32.042,29.081,35.003
Wilkinson County,GA,34.512,31.752,37.272
Worth County,GA,40.382,36.894,43.87
Hawaii,GA,69.549,68.236,70.862
Hawaii County,HI,51.887,49.875,53.899
Honolulu County,HI,73.985,72.489,75.481
Kalawao County,HI,.,.,.
Kauai County,HI,58.883,54.504,63.262
Maui County,HI,64.916,62.156,67.676
Idaho,HI,47.572,46.434,48.71
Ada County,ID,57.908,55.704,60.112
Adams County,ID,40.777,37.121,44.433
Bannock County,ID,44.324,41.601,47.047
Bear Lake County,ID,45.504,41.211,49.797
Benewah County,ID,46.277,42.763,49.791
Bingham County,ID,47.292,44.178,50.406
Blaine County,ID,63.49,56.735,70.245
Boise County,ID,50.874,45.56,56.188
Bonner County,ID,45.193,42.226,48.16
Bonneville County,ID,51.44,47.799,55.081
Boundary County,ID,42.72,38.606,46.834
Butte County,ID,42.907,38.301,47.513
Camas County,ID,49.569,44.204,54.934
Canyon County,ID,43.489,41.318,45.66
Caribou County,ID,55.77,49.989,61.551
Cassia County,ID,45.078,40.624,49.532
Clark County,ID,45.979,41.001,50.957
Clearwater County,ID,41.304,37.393,45.215
Custer County,ID,42.704,38.271,47.137
Elmore County,ID,45.049,41.375,48.723
Franklin County,ID,50.545,45.436,55.654
Fremont County,ID,45.578,42.663,48.493
Gem County,ID,41.688,37.623,45.753
Gooding County,ID,44.669,40.173,49.165
Idaho County,ID,39.551,35.956,43.146
Jefferson County,ID,52.428,49.237,55.619
Jerome County,ID,46.513,42.431,50.595
Kootenai County,ID,49.061,46.287,51.835
Latah County,ID,43.482,39.274,47.69
Lemhi County,ID,37.869,34.101,41.637
Lewis County,ID,39.918,36.687,43.149
Lincoln County,ID,44.046,40.155,47.937
Madison County,ID,36.065,32.847,39.283
Minidoka County,ID,46.332,42.054,50.61
Nez Perce County,ID,46.214,42.57,49.858
Oneida County,ID,46.503,41.578,51.428
Owyhee County,ID,38.478,34.419,42.537
Payette County,ID,45.533,41.477,49.589
Power County,ID,48.048,43.461,52.635
Shoshone County,ID,36.577,33.167,39.987
Teton County,ID,57.644,51.704,63.584
Twin Falls County,ID,44.236,40.957,47.515
Valley County,ID,49.38,44.123,54.637
Washington County,ID,35.955,32.225,39.685
Illinois,ID,57.458,57.035,57.881
Adams County,IL,46.061,43.973,48.149
Alexander County,IL,30.699,27.413,33.985
Bond County,IL,49.886,44.911,54.861
Boone County,IL,58.792,53.534,64.05
Brown County,IL,50.225,45.218,55.232
Bureau County,IL,52.138,48.893,55.383
Calhoun County,IL,49.689,44.763,54.615
Carroll County,IL,50.75,46.649,54.851
Cass County,IL,46.289,42.171,50.407
Champaign County,IL,47.966,45.052,50.88
Christian County,IL,46.87,43,50.74
Clark County,IL,50.645,46.348,54.942
Clay County,IL,45.709,42.018,49.4
Clinton County,IL,60.556,57.351,63.761
Coles County,IL,41.319,37.477,45.161
Cook County,IL,55.058,54.418,55.698
Crawford County,IL,45.889,42.42,49.358
Cumberland County,IL,49.567,44.596,54.538
DeKalb County,IL,56.536,53.66,59.412
De Witt County,IL,55.193,50.68,59.706
Douglas County,IL,52.526,48.031,57.021
DuPage County,IL,80.037,78.333,81.741
Edgar County,IL,45.485,41.425,49.545
Edwards County,IL,46.894,42.541,51.247
Effingham County,IL,52.578,48.778,56.378
Fayette County,IL,41.268,38.095,44.441
Ford County,IL,50.877,46.551,55.203
Franklin County,IL,37.758,35.109,40.407
Fulton County,IL,44.435,41.698,47.172
Gallatin County,IL,41.045,36.674,45.416
Greene County,IL,39.738,36.166,43.31
Grundy County,IL,70.092,64.22,75.964
Hamilton County,IL,49.79,45.755,53.825
Hancock County,IL,48.767,44.176,53.358
Hardin County,IL,37.331,33.483,41.179
Henderson County,IL,50.999,46.158,55.84
Henry County,IL,51.025,47.137,54.913
Iroquois County,IL,46.895,43.622,50.168
Jackson County,IL,34.395,31.343,37.447
Jasper County,IL,52.919,48.826,57.012
Jefferson County,IL,43.073,40.049,46.097
