Orig Name,Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
Litchfield County,Litchfield1,CT,73.413,70.929,75.897
Middlesex County,Middlesex1,CT,76.365,71.817,80.913
New Haven County,New Haven1,CT,60.387,58.809,61.965
New London County,New London1,CT,65.813,63.594,68.032
Tolland County,Tolland1,CT,78.653,75.528,81.778
Windham County,Windham1,CT,57.547,53.473,61.621
Delaware,Delaware1,CT,59.853,58.463,61.243
Kent County,Kent1,DE,54.271,51.622,56.92
New Castle County,New Castle1,DE,64.632,62.141,67.123
Sussex County,Sussex1,DE,53.316,50.585,56.047
District of Columbia,District of Columbia1,DE,69.992,68.375,71.609
District of Columbia,District of Columbia2,DC,69.992,68.375,71.609
Florida,Florida1,DC,47.439,47.113,47.765
Alachua County,Alachua1,FL,44.325,41.434,47.216
Baker County,Baker1,FL,47.121,42.324,51.918
Bay County,Bay1,FL,44.8,41.867,47.733
Bradford County,Bradford1,FL,39.98,35.954,44.006
Brevard County,Brevard1,FL,47.973,46.271,49.675
Broward County,Broward1,FL,51.485,50.524,52.446
Calhoun County,Calhoun3,FL,35.256,31.845,38.667
Charlotte County,Charlotte1,FL,43.242,41.05,45.434
Citrus County,Citrus1,FL,36.383,34.209,38.557
Clay County,Clay3,FL,58.539,55.033,62.045
Collier County,Collier1,FL,58.403,55.663,61.143
Columbia County,Columbia2,FL,38.484,35.742,41.226
DeSoto County,DeSoto1,FL,36.945,34.255,39.635
Dixie County,Dixie1,FL,32.121,28.954,35.288
Duval County,Duval1,FL,46.013,44.573,47.453
Escambia County,Escambia2,FL,46.139,44.399,47.879
Flagler County,Flagler1,FL,51.556,49.968,53.144
Franklin County,Franklin3,FL,36.788,33.631,39.945
Gadsden County,Gadsden1,FL,35.849,32.724,38.974
Gilchrist County,Gilchrist1,FL,40.788,36.872,44.704
Glades County,Glades1,FL,38.783,34.775,42.791
Gulf County,Gulf1,FL,38.419,34.421,42.417
Hamilton County,Hamilton1,FL,31.734,28.612,34.856
Hardee County,Hardee1,FL,35.371,31.915,38.827
Hendry County,Hendry1,FL,38.494,34.912,42.076
Hernando County,Hernando1,FL,40.094,37.853,42.335
Highlands County,Highlands1,FL,35.787,33.669,37.905
Hillsborough County,Hillsborough1,FL,50.758,49.897,51.619
Holmes County,Holmes1,FL,35.651,32.753,38.549
Indian River County,Indian River1,FL,47.548,44.032,51.064
Jackson County,Jackson4,FL,36.876,33.612,40.14
Jefferson County,Jefferson4,FL,40.205,36.328,44.082
Lafayette County,Lafayette2,FL,38.071,33.973,42.169
Lake County,Lake3,FL,46.895,44.754,49.036
Lee County,Lee3,FL,49.147,47.631,50.663
Leon County,Leon1,FL,45.463,42.986,47.94
Levy County,Levy1,FL,37.433,34.786,40.08
Liberty County,Liberty1,FL,38.473,35.507,41.439
Madison County,Madison3,FL,33.017,29.47,36.564
Manatee County,Manatee1,FL,51.673,50.128,53.218
Marion County,Marion3,FL,39.86,38.202,41.518
Martin County,Martin1,FL,55.472,52.649,58.295
Miami-Dade County,Miami-Dade1,FL,42.754,41.72,43.788
Monroe County,Monroe3,FL,57.411,54.575,60.247
Nassau County,Nassau1,FL,56.728,51.759,61.697
Okaloosa County,Okaloosa1,FL,55.952,52.522,59.382
Okeechobee County,Okeechobee1,FL,37.065,33.871,40.259
Orange County,Orange2,FL,47.069,45.721,48.417
Osceola County,Osceola1,FL,42.945,40.456,45.434
Palm Beach County,Palm Beach1,FL,52.225,51.032,53.418
Pasco County,Pasco1,FL,45.219,43.938,46.5
Pinellas County,Pinellas1,FL,45.162,44.085,46.239
Polk County,Polk2,FL,42.768,40.997,44.539
Putnam County,Putnam1,FL,32.054,29.478,34.63
St. Johns County,St. Johns1,FL,66.56,64.057,69.063
St. Lucie County,St. Lucie1,FL,42.722,40.183,45.261
Santa Rosa County,Santa Rosa1,FL,58.587,54.769,62.405
Sarasota County,Sarasota1,FL,52.109,50.672,53.546
Seminole County,Seminole1,FL,56.443,54.253,58.633
Sumter County,Sumter2,FL,51.907,48.276,55.538
Suwannee County,Suwannee1,FL,38.177,35.104,41.25
Taylor County,Taylor1,FL,36.374,32.72,40.028
Union County,Union2,FL,40.207,36.129,44.285
Volusia County,Volusia1,FL,40.881,39.563,42.199
Wakulla County,Wakulla1,FL,51.642,47.269,56.015
Walton County,Walton1,FL,46.867,43.244,50.49
Washington County,Washington4,FL,36.482,33.099,39.865
Georgia,Georgia1,FL,49.24,48.708,49.772
Appling County,Appling1,GA,36.642,33.032,40.252
Atkinson County,Atkinson1,GA,31.74,28.372,35.108
Bacon County,Bacon1,GA,34.201,30.961,37.441
Baker County,Baker2,GA,43.115,40.372,45.858
Baldwin County,Baldwin2,GA,37.008,33.136,40.88
Banks County,Banks1,GA,46.018,41.879,50.157
Barrow County,Barrow1,GA,49.698,46.42,52.976
Bartow County,Bartow1,GA,51.44,47.844,55.036
Ben Hill County,Ben Hill1,GA,31.081,28.413,33.749
Berrien County,Berrien1,GA,35.078,31.444,38.712
Bibb County,Bibb2,GA,36.014,33.984,38.044
Bleckley County,Bleckley1,GA,40.454,36.118,44.79
Brantley County,Brantley1,GA,36.865,33.147,40.583
Brooks County,Brooks1,GA,32.903,29.702,36.104
Bryan County,Bryan1,GA,66.556,60.143,72.969
Bulloch County,Bulloch1,GA,36.315,32.83,39.8
Burke County,Burke1,GA,35.055,32.078,38.032
Butts County,Butts1,GA,41.505,37.136,45.874
Calhoun County,Calhoun4,GA,30.76,27.556,33.964
Camden County,Camden1,GA,51.793,48.77,54.816
Candler County,Candler1,GA,31.829,28.644,35.014
Carroll County,Carroll2,GA,43.442,39.801,47.083
Catoosa County,Catoosa1,GA,50.728,46.959,54.497
Charlton County,Charlton1,GA,34.312,30.705,37.919
Chatham County,Chatham1,GA,50.154,48.552,51.756
Chattahoochee County,Chattahoochee1,GA,45.933,41.071,50.795
Chattooga County,Chattooga1,GA,34.83,31.41,38.25
Cherokee County,Cherokee2,GA,71.168,66.835,75.501
Clarke County,Clarke2,GA,31.487,29.389,33.585
Clay County,Clay4,GA,27.512,24.561,30.463
Clayton County,Clayton1,GA,42.985,41.605,44.365
Clinch County,Clinch1,GA,31.577,28.19,34.964
Cobb County,Cobb1,GA,66.97,64.994,68.946
Coffee County,Coffee2,GA,33.125,30.121,36.129
Colquitt County,Colquitt1,GA,33.509,30.889,36.129
Columbia County,Columbia3,GA,68.067,64.634,71.5
Cook County,Cook1,GA,32.408,29.295,35.521
Coweta County,Coweta1,GA,60.809,56.848,64.77
Crawford County,Crawford2,GA,43.111,38.662,47.56
Crisp County,Crisp1,GA,31.176,27.971,34.381
Dade County,Dade1,GA,42.953,38.615,47.291
Dawson County,Dawson1,GA,57.491,52.227,62.755
Decatur County,Decatur1,GA,33.968,30.444,37.492
DeKalb County,DeKalb2,GA,50.597,49.296,51.898
Dodge County,Dodge1,GA,32.293,28.992,35.594
Dooly County,Dooly1,GA,31.103,27.779,34.427
Dougherty County,Dougherty1,GA,32.15,30.171,34.129
Douglas County,Douglas2,GA,54.581,50.791,58.371
Early County,Early1,GA,34.906,31.945,37.867
Echols County,Echols1,GA,34.444,30.783,38.105
Effingham County,Effingham1,GA,61.195,57.647,64.743
Elbert County,Elbert2,GA,35.351,32.189,38.513
Emanuel County,Emanuel1,GA,30.119,27.094,33.144
Evans County,Evans1,GA,33.293,29.961,36.625
Fannin County,Fannin1,GA,37.813,34.52,41.106
Fayette County,Fayette2,GA,79.069,73.976,84.162
Floyd County,Floyd1,GA,41.814,38.814,44.814
Forsyth County,Forsyth1,GA,86.413,83.731,89.095
Franklin County,Franklin4,GA,38.055,34.099,42.011
Fulton County,Fulton2,GA,55.516,53.942,57.09
Gilmer County,Gilmer1,GA,40.01,36.038,43.982
Glascock County,Glascock1,GA,39.643,36.289,42.997
Glynn County,Glynn1,GA,46.737,44.014,49.46
Gordon County,Gordon1,GA,43.88,40.252,47.508
Grady County,Grady1,GA,35.237,31.745,38.729
Greene County,Greene3,GA,42.823,38.328,47.318
Gwinnett County,Gwinnett1,GA,59.858,57.296,62.42
Habersham County,Habersham1,GA,40.994,37.745,44.243
Hall County,Hall1,GA,52.238,49.277,55.199
Hancock County,Hancock1,GA,26.309,23.465,29.153
Haralson County,Haralson1,GA,40.387,36.514,44.26
Harris County,Harris1,GA,66.249,60.23,72.268
Hart County,Hart1,GA,38.564,34.692,42.436
Heard County,Heard1,GA,41.348,37.287,45.409
Henry County,Henry2,GA,60.388,55.891,64.885
Houston County,Houston2,GA,53.027,48.952,57.102
Irwin County,Irwin1,GA,35.955,32.082,39.828
Jackson County,Jackson5,GA,51.931,49.129,54.733
Jasper County,Jasper1,GA,41.818,37.627,46.009
Jeff Davis County,Jeff Davis1,GA,35.235,31.85,38.62
Jefferson County,Jefferson5,GA,30.835,27.791,33.879
Jenkins County,Jenkins1,GA,30.678,27.876,33.48
Johnson County,Johnson2,GA,29.818,26.688,32.948
Jones County,Jones1,GA,51.749,46.739,56.759
Lamar County,Lamar2,GA,40.339,36.056,44.622
Lanier County,Lanier1,GA,37.113,33.242,40.984
Laurens County,Laurens1,GA,35.807,32.351,39.263
Lee County,Lee4,GA,64.533,58.699,70.367
Liberty County,Liberty2,GA,41.682,39.397,43.967
Lincoln County,Lincoln3,GA,39.484,35.48,43.488
Long County,Long1,GA,43.193,39.728,46.658
Lowndes County,Lowndes2,GA,38.887,35.811,41.963
